Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,C160064-001B301A,Ethernet1,server,GC_APROC1,RJ45,True
l2leaf,C160064-001B301A,Ethernet2,server,GC_WPROC_J1,RJ45,True
l2leaf,C160064-001B301A,Ethernet3,server,GC_FB_15,RJ45,True
l2leaf,C160064-001B301A,Ethernet4,server,GC_FB_01,RJ45,True
l2leaf,C160064-001B301A,Ethernet5,server,GC_FB_02,RJ45,True
l2leaf,C160064-001B301A,Ethernet6,server,GC_FB_03,RJ45,True
l2leaf,C160064-001B301A,Ethernet7,server,GC_FB_04,RJ45,True
l2leaf,C160064-001B301A,Ethernet8,server,GC_FB_05,RJ45,True
l2leaf,C160064-001B301A,Ethernet9,server,GC_FB_06,RJ45,True
l2leaf,C160064-001B301A,Ethernet10,server,GC_FB_10,RJ45,True
l2leaf,C160064-001B301A,Ethernet11,server,GC_FB_11,RJ45,True
l2leaf,C160064-001B301A,Ethernet12,server,GC_WP_01,RJ45,True
l2leaf,C160064-001B301A,Ethernet13,server,GC_FB_08,RJ45,True
l2leaf,C160064-001B301A,Ethernet14,server,GC_FB_07,RJ45,True
l2leaf,C160064-001B301A,Ethernet15,server,GC_FB_14,RJ45,True
l2leaf,C160064-001B301A,Ethernet16,server,GC_FB_13,RJ45,True
l2leaf,C160064-001B301A,Ethernet17,server,GC_FB_09,RJ45,True
l2leaf,C160064-001B301A,Ethernet18,server,GC_FB_12,RJ45,True
l2leaf,C160064-001B301A,Ethernet19,server,GC_PC_A,RJ45,True
l2leaf,C160064-001B301A,Ethernet20,server,GC_MED_SVR_E,RJ45,True
l2leaf,C160064-001B301A,Ethernet21,server,GC_PIX_PROC_E1,LAN,True
l2leaf,C160064-001B301A,Ethernet22,server,GC_MED_SVR_E,RJ45,True
l2leaf,C160064-001B301A,Ethernet23,server,GC_MED_SVR_E,RJ45,True
l2leaf,C160064-001B301A,Ethernet25,server,GC_APROC1,RJ45,True
l2leaf,C160064-001B301A,Ethernet26,server,GC_AMP1,RJ45,True
l2leaf,C160064-001B301A,Ethernet27,server,GC_AMP2,RJ45,True
l2leaf,C160064-001B301A,Ethernet28,server,GC_AMP3,RJ45,True
l2leaf,C160064-001B301A,Ethernet29,server,GWS_SPK_M,RJ45,True
l2leaf,C160064-001B301A,Ethernet30,server,GC_ICM_A,RJ45,True
l2leaf,C160064-001B301A,Ethernet31,server,GC_CORE_C,RJ45,True
l2leaf,C160064-001B301A,Ethernet34,server,GC_FB_01,RJ45,True
l2leaf,C160064-001B301A,Ethernet35,server,GC_FB_02,RJ45,True
l2leaf,C160064-001B301A,Ethernet36,server,GC_FB_03,RJ45,True
l2leaf,C160064-001B301A,Ethernet37,server,GC_FB_04,RJ45,True
l2leaf,C160064-001B301A,Ethernet38,server,GC_FB_05,RJ45,True
l2leaf,C160064-001B301A,Ethernet39,server,GC_FB_06,RJ45,True
l2leaf,C160064-001B301A,Ethernet40,server,GC_FB_10,RJ45,True
l2leaf,C160064-001B301A,Ethernet41,server,GC_FB_11,RJ45,True
l2leaf,C160064-001B301A,Ethernet42,server,GC_FB_15,RJ45,True
l2leaf,C160064-001B301A,Ethernet43,server,GC_WP_01,RJ45,True
l2leaf,C160064-001B301A,Ethernet44,server,GC_WP_01,RJ45,True
