Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
media_leaf,C160064-001B101A,Ethernet2/1/1,100.83.94.97/31,media_spine,C160064-037B100A,Ethernet6/23/1,100.83.94.96/31
media_leaf,C160064-001B101A,Ethernet2/2/1,100.83.94.99/31,media_spine,C160064-037B100A,Ethernet7/23/1,100.83.94.98/31
media_leaf,C160064-001B201A,Ethernet2/1/1,100.83.88.97/31,media_spine,C160064-037B200A,Ethernet6/23/1,100.83.88.96/31
media_leaf,C160064-001B201A,Ethernet2/2/1,100.83.88.99/31,media_spine,C160064-037B200A,Ethernet7/23/1,100.83.88.98/31
media_leaf,C160064-002B101A,Ethernet2/1/1,100.83.94.113/31,media_spine,C160064-037B100A,Ethernet6/21/1,100.83.94.112/31
media_leaf,C160064-002B101A,Ethernet2/2/1,100.83.94.115/31,media_spine,C160064-037B100A,Ethernet7/21/1,100.83.94.114/31
media_leaf,C160064-002B101A,Ethernet2/3/1,100.83.94.117/31,media_spine,C160064-037B100A,Ethernet6/22/1,100.83.94.116/31
media_leaf,C160064-002B101A,Ethernet2/4/1,100.83.94.119/31,media_spine,C160064-037B100A,Ethernet7/22/1,100.83.94.118/31
media_leaf,C160064-002B101A,Ethernet3/1/1,100.83.94.121/31,media_spine,C160064-037B100A,Ethernet6/24/1,100.83.94.120/31
media_leaf,C160064-002B201A,Ethernet2/1/1,100.83.88.113/31,media_spine,C160064-037B200A,Ethernet6/21/1,100.83.88.112/31
media_leaf,C160064-002B201A,Ethernet2/2/1,100.83.88.115/31,media_spine,C160064-037B200A,Ethernet7/21/1,100.83.88.114/31
media_leaf,C160064-002B201A,Ethernet2/3/1,100.83.88.117/31,media_spine,C160064-037B200A,Ethernet6/22/1,100.83.88.116/31
media_leaf,C160064-002B201A,Ethernet2/4/1,100.83.88.119/31,media_spine,C160064-037B200A,Ethernet7/22/1,100.83.88.118/31
media_leaf,C160064-002B201A,Ethernet3/1/1,100.83.88.121/31,media_spine,C160064-037B200A,Ethernet6/24/1,100.83.88.120/31
media_leaf,C160064-003B101A,Ethernet2/1/1,100.83.94.129/31,media_spine,C160064-037B100A,Ethernet6/20/1,100.83.94.128/31
media_leaf,C160064-003B101A,Ethernet2/2/1,100.83.94.131/31,media_spine,C160064-037B100A,Ethernet7/20/1,100.83.94.130/31
media_leaf,C160064-003B201A,Ethernet2/1/1,100.83.88.129/31,media_spine,C160064-037B200A,Ethernet6/20/1,100.83.88.128/31
media_leaf,C160064-003B201A,Ethernet2/2/1,100.83.88.131/31,media_spine,C160064-037B200A,Ethernet7/20/1,100.83.88.130/31
media_leaf,C160064-004B101A,Ethernet53/1,100.83.94.145/31,media_spine,C160064-037B100A,Ethernet3/33/1,100.83.94.144/31
media_leaf,C160064-004B101A,Ethernet54/1,100.83.94.147/31,media_spine,C160064-037B100A,Ethernet4/32/4,100.83.94.146/31
media_leaf,C160064-004B101A,Ethernet55/1,100.83.94.149/31,media_spine,C160064-037B100A,Ethernet5/33/4,100.83.94.148/31
media_leaf,C160064-004B101A,Ethernet56/1,100.83.94.151/31,media_spine,C160064-037B100A,Ethernet3/32/4,100.83.94.150/31
media_leaf,C160064-004B201A,Ethernet53/1,100.83.88.145/31,media_spine,C160064-037B200A,Ethernet3/33/1,100.83.88.144/31
media_leaf,C160064-004B201A,Ethernet54/1,100.83.88.147/31,media_spine,C160064-037B200A,Ethernet4/32/4,100.83.88.146/31
media_leaf,C160064-004B201A,Ethernet55/1,100.83.88.149/31,media_spine,C160064-037B200A,Ethernet5/33/4,100.83.88.148/31
media_leaf,C160064-004B201A,Ethernet56/1,100.83.88.151/31,media_spine,C160064-037B200A,Ethernet3/32/4,100.83.88.150/31
media_leaf,C160064-005B101A,Ethernet2/1/1,100.83.94.161/31,media_spine,C160064-037B100A,Ethernet6/19/1,100.83.94.160/31
media_leaf,C160064-005B101A,Ethernet2/2/1,100.83.94.163/31,media_spine,C160064-037B100A,Ethernet7/19/1,100.83.94.162/31
