Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
media_leaf,C160064-001B101A,Ethernet2/1/1,network_port,C160064-037B100A,Ethernet6/23/1,True
media_leaf,C160064-001B101A,Ethernet2/2/1,network_port,C160064-037B100A,Ethernet7/23/1,True
media_leaf,C160064-001B101A,Ethernet2/3/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet2/4/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet3/1/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet3/2/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet3/3/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet3/4/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/1/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/2,server,GC_PIX_PROC_E1_7th_Sense_JUGGLER_2,100G_ETH1,True
media_leaf,C160064-001B101A,Ethernet4/2/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/3,server,GC_MED_SVR_E_7th_Sense_R10,LC,True
media_leaf,C160064-001B101A,Ethernet4/3/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/4,server,GC_WPROC_J1_MEGAPIXEL_HELIOS,LC,True
media_leaf,C160064-001B101A,Ethernet4/4/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/5/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/6,server,GC_PIX_PROC_F1_7th_Sense_JUGGLER_2,100G_ETH1,True
media_leaf,C160064-001B101A,Ethernet4/6/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/7,server,GC_MED_SVR_E_7th_Sense_R10,LC,True
media_leaf,C160064-001B101A,Ethernet4/7/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/8/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/9/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/10/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/11,server,GC_MED_SVR_F_7th_Sense_R10,LC,True
media_leaf,C160064-001B101A,Ethernet4/11/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/12/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/13/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/14/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/15,server,GC_MED_SVR_F_7th_Sense_R10,LC,True
media_leaf,C160064-001B101A,Ethernet4/15/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet4/16/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/1/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/2/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/3/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/4/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/5/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/6/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/7/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/8/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/9/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/10/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/11/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/12/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/13/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/14/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/15/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet5/16/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/1,server,GC_FB_01_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/1/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/2,server,GC_FB_01_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/2/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/3,server,GC_FB_02_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/3/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/4,server,GC_FB_02_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/4/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/5,server,GC_FB_03_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/5/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/6,server,GC_FB_03_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/6/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/7,server,GC_FB_04_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/7/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/8,server,GC_FB_04_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/8/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/9,server,GC_FB_05_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/9/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/10,server,GC_FB_05_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/10/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/11,server,GC_FB_06_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/11/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/12,server,GC_FB_06_Signal_Transport_M606_1,LC,True
media_leaf,C160064-001B101A,Ethernet6/12/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/13,server,GC_FB_10_Combined_Utilities_Box_M614_CUB_WP_221608,LC,True
media_leaf,C160064-001B101A,Ethernet6/13/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/14,server,GC_FB_10_Combined_Utilities_Box_M614_CUB_WP_221608,LC,True
media_leaf,C160064-001B101A,Ethernet6/14/1,network_port,,,True
media_leaf,C160064-001B101A,Ethernet6/15,server,GC_FB_11_Combined_Utilities_Box_M614_CUB_WP_221608,LC,True
